track,method,subject,leesu,student,score,year,gender,grade,average,self1,self2,self3,self4,self5,Context1,Context2,Input1,Input2,Input3,Process1,Process2,Process3,Process4,Product1,Product2,Product3,Product4
1,1,7435,2,49,89.83,1,2,C+,4.277777778,2,2,5,5,3,3,5,4,5,5,5,3,5,5,5,5,5,5
1,1,7143,4,57,92.24,1,1,A,4.611111111,4,4,5,5,4,4,5,4,4,4,5,5,5,5,5,5,5,5
1,1,7143,4,57,92.24,1,1,C,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1,1,7325,2,49,79.21,1,1,A,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1,1,7326,2,50,83.51,1,2,B+,4.944444444,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1,1,7437,5,196,85.17,2,2,P,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1,1,7326,2,50,83.51,1,1,C+,3.944444444,4,4,4,4,3,4,4,4,5,5,4,4,3,4,3,4,4,4
1,1,8419,7,22,92.45,2,2,F,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1,1,7438,5,180,85.99,3,2,P,4.611111111,3,3,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5
1,1,7438,5,180,85.99,2,1,P,2.444444444,2,2,2,2,2,1,1,4,4,4,3,4,2,3,1,1,3,3
1,1,7149,4,31,76,1,1,C+,4.833333333,5,3,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5
1,1,8053,8,27,78.03,3,2,C+,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1,1,7437,5,196,85.17,4,1,P,4.944444444,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1,1,7122,4,77,87.92,2,1,A+,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1,1,7513,2,44,82.6,1,1,B+,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1,1,7438,5,180,85.99,2,1,P,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1,1,7390,2,50,88.35,1,2,B+,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1,1,7435,2,49,89.83,1,2,B+,3.833333333,3,3,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4
1,1,7391,2,49,82.68,1,2,A+,3.944444444,3,3,4,4,3,4,4,4,4,4,4,4,5,4,4,4,4,5
1,1,7169,4,74,85.81,3,2,B+,3.555555556,4,4,3,3,3,3,4,4,4,4,3,4,4,3,3,3,4,4
1,1,7324,2,50,92.67,2,2,A+,4.888888889,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1,1,7513,2,44,82.6,1,1,C+,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
1,1,8420,7,24,85.45,2,2,B+,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1,1,8068,8,70,87.94,2,2,A+,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1,1,7434,2,48,88.65,1,2,A+,3.777777778,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4
1,1,7323,2,50,92.41,1,2,B+,4.944444444,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1,1,7390,2,50,88.35,1,2,F,4.777777778,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1,1,7327,2,50,73.85,1,1,F,3.722222222,4,4,4,4,4,4,3,4,4,4,3,3,4,4,3,3,4,4
1,1,7434,2,48,88.65,1,2,B+,4.722222222,3,4,5,5,5,5,5,5,5,5,5,4,5,5,5,4,5,5
1,1,7383,2,28,92.88,1,2,A+,4.666666667,5,5,5,5,4,5,5,5,5,5,5,5,5,4,3,5,3,5
1,1,7230,4,40,88.4,4,1,C+,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1,1,7145,4,7,87.69,3,1,A,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1,1,7437,5,196,85.17,3,1,P,3.111111111,3,3,4,3,3,4,3,3,3,3,3,3,3,3,2,4,3,3
1,1,7383,2,28,92.88,1,2,B+,4.722222222,4,5,5,5,5,5,5,4,4,4,5,5,5,5,5,5,4,5
1,1,7433,2,48,79.73,1,2,B+,4.944444444,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1,1,7230,4,40,88.4,3,2,A+,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1,1,7438,5,180,85.99,3,2,P,4.666666667,3,3,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5
1,1,7195,4,14,75.16,2,2,B+,3.611111111,4,4,3,3,3,4,4,4,4,4,3,3,4,4,4,4,3,3
1,1,7326,2,50,83.51,1,2,C+,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1,1,8419,7,22,92.45,2,1,B,4.833333333,5,4,5,5,5,4,5,5,5,5,5,4,5,5,5,5,5,5
1,1,7514,2,42,95.31,4,1,C+,4.777777778,4,4,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5
1,1,8053,8,27,78.03,2,2,C+,3.611111111,4,4,4,4,4,3,4,3,4,4,3,4,3,4,3,4,3,3
1,1,7251,4,35,94.92,1,2,A+,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1,1,7435,2,49,89.83,1,2,C,3.777777778,3,3,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4
1,1,7169,4,74,85.81,2,1,B+,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1,1,7513,2,44,82.6,1,2,A+,3.611111111,4,4,4,4,3,3,3,4,4,4,4,4,4,4,3,3,3,3
1,1,8915,7,8,98.72,4,1,A+,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1,1,7391,2,49,82.68,1,2,B+,4.055555556,4,4,4,5,4,3,4,4,4,4,4,4,4,4,4,5,4,4
1,1,7437,5,196,85.17,2,2,P,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1,1,7435,2,49,89.83,1,1,A+,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1,1,7434,2,48,88.65,1,1,C+,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
1,1,7142,4,9,76.04,3,2,B,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1,1,7513,2,44,82.6,1,1,C+,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
1,1,7148,4,13,90.35,4,1,D+,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1,1,7328,2,48,69.19,1,2,B,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1,1,7391,2,49,82.68,1,2,C+,3.388888889,3,3,4,3,2,4,4,4,4,3,3,3,3,4,4,3,3,4
1,1,7387,2,48,88.01,1,1,C+,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1,1,7161,4,48,79.74,3,1,A+,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1,1,7119,4,16,68.05,4,1,C+,4.111111111,3,2,2,3,5,4,4,4,5,5,5,5,5,3,5,5,4,5
1,1,7205,4,51,84.25,3,1,A,4.277777778,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4
1,1,7438,5,180,85.99,4,2,P,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1,1,7435,2,49,89.83,1,2,B+,4,5,5,5,5,2,2,4,4,4,4,4,4,4,4,4,4,4,4
1,1,7438,5,180,85.99,2,2,P,4.333333333,5,5,5,5,1,5,5,5,1,5,5,3,5,5,5,5,4,4
1,1,7142,4,9,76.04,1,2,A+,3.944444444,5,5,4,4,3,3,3,5,5,5,3,4,4,4,4,3,3,4
1,1,7327,2,50,73.85,1,2,B,2.555555556,4,4,2,2,3,2,3,2,3,2,2,2,3,2,3,2,2,3
1,1,7326,2,50,83.51,1,2,B+,3.833333333,3,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4
1,1,7437,5,196,85.17,3,2,P,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
1,1,7438,5,180,85.99,3,2,P,4.277777778,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4
1,1,7387,2,48,88.01,1,2,C+,3.722222222,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4
1,1,7169,4,74,85.81,2,1,C+,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1,1,7437,5,196,85.17,2,2,P,4.222222222,4,5,4,5,4,5,4,4,4,4,4,4,4,4,5,4,4,4
1,1,7207,4,45,90.59,4,1,C+,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1,1,7391,2,49,82.68,1,2,A,4.833333333,5,5,5,5,5,4,4,5,5,5,5,5,5,5,4,5,5,5
1,1,7438,5,180,85.99,2,2,P,4.888888889,4,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5
1,1,7324,2,50,92.67,2,2,C+,4.388888889,4,4,4,4,4,5,5,5,5,5,3,2,5,5,5,5,4,5
1,1,7437,5,196,85.17,2,1,P,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1,1,7270,4,35,99.51,1,2,A+,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1,1,8053,8,27,78.03,2,1,A+,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1,1,7437,5,196,85.17,2,1,P,4.666666667,4,4,5,5,5,3,5,5,5,5,5,5,5,4,5,5,4,5
1,1,7438,5,180,85.99,4,2,P,3.333333333,3,3,4,4,3,2,3,4,4,3,4,3,3,3,3,3,4,4
1,1,7389,2,50,88.44,2,2,A+,4.055555556,4,4,3,4,4,4,4,5,5,5,4,4,4,4,4,3,4,4
1,1,7392,2,47,86.84,1,2,A+,3.777777778,3,4,3,3,3,5,4,3,4,4,4,4,4,4,3,3,5,5
1,1,7328,2,48,69.19,1,2,B,3.833333333,4,3,3,3,4,5,2,5,5,5,5,2,3,3,4,3,5,5
1,1,7437,5,196,85.17,4,2,P,3.444444444,4,4,4,3,2,4,3,4,5,4,4,3,3,3,3,3,3,3
1,1,7514,2,42,95.31,3,1,C+,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1,1,7149,4,31,76,1,2,C+,3.5,3,3,3,4,3,3,4,4,4,4,4,4,3,3,3,3,4,4
1,1,7221,4,47,81.38,4,1,C+,4.888888889,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4
1,1,7198,4,71,87.14,2,2,B+,4.722222222,5,5,5,5,4,5,5,5,5,5,5,5,4,4,5,5,4,4
1,1,7169,4,74,85.81,2,2,C+,3.444444444,3,3,3,3,3,4,4,4,4,4,4,4,4,3,3,3,3,3
1,1,7206,4,47,91.87,4,2,A,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1,1,7164,4,19,89.83,4,1,A+,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1,1,7438,5,180,85.99,3,2,P,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1,1,7122,4,77,87.92,4,1,B+,3.722222222,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4
1,1,7143,4,57,92.24,2,1,D,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1,1,7270,4,35,99.51,1,2,C+,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1,1,7169,4,74,85.81,3,1,B+,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1,1,7389,2,50,88.44,4,1,B+,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1,1,7169,4,74,85.81,2,1,C+,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1,1,8068,8,70,87.94,3,2,C+,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1,1,7387,2,48,88.01,1,1,B+,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1,1,7161,4,48,79.74,3,1,C+,3,3,3,3,3,2,3,3,3,3,4,3,3,3,3,3,3,3,3
1,1,7327,2,50,73.85,1,1,C,4.611111111,5,5,5,4,4,5,5,4,5,5,5,4,4,4,4,5,5,5
1,1,7119,4,16,68.05,3,1,C+,3.722222222,5,4,4,4,4,3,3,4,4,4,4,4,4,4,3,3,3,3
1,1,8402,7,27,90.41,2,1,B,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1,1,7438,5,180,85.99,3,1,P,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1,1,8419,7,22,92.45,1,2,C+,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1,1,7326,2,50,83.51,1,2,C+,4.166666667,4,5,5,4,4,4,4,4,4,5,5,5,3,4,4,4,4,3
1,1,7325,2,49,79.21,1,2,A+,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1,1,7230,4,40,88.4,4,1,A+,4.888888889,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5
1,1,7115,4,20,86.48,1,2,C+,4.444444444,4,4,5,4,4,4,5,5,4,5,5,4,4,5,5,5,4,4
1,1,7115,4,20,86.48,3,1,A+,3.5,5,5,2,3,3,3,3,4,5,4,3,3,3,4,3,3,3,4
1,1,7326,2,50,83.51,1,1,C+,4.166666667,3,3,3,3,3,5,5,4,4,4,4,5,4,5,5,5,5,5
1,1,7198,4,71,87.14,3,2,C,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1,1,7234,4,50,91.13,2,2,C,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1,1,7433,2,48,79.73,1,2,A+,3.388888889,4,3,2,2,3,4,4,4,4,3,3,4,3,3,3,4,4,4
1,1,7438,5,180,85.99,3,2,P,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1,1,7433,2,48,79.73,1,2,B+,4.722222222,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5
1,1,7328,2,48,69.19,1,2,B+,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1,1,7230,4,40,88.4,2,2,C+,4,4,4,3,4,3,4,5,5,4,4,3,5,4,4,3,4,5,4
1,1,7388,2,50,81.78,1,2,C+,4.388888889,4,3,5,4,3,5,5,5,5,5,5,5,5,4,3,3,5,5
1,1,7437,5,196,85.17,4,2,P,4.055555556,4,3,5,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4
1,1,7143,4,57,92.24,3,2,A,4.777777778,5,5,5,5,4,5,5,4,5,5,4,5,5,5,5,4,5,5
1,1,7389,2,50,88.44,3,1,C+,4.444444444,5,5,4,4,5,5,5,5,5,4,4,4,5,3,5,4,4,4
1,1,7325,2,49,79.21,1,2,B,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1,1,8068,8,70,87.94,2,2,B+,4.333333333,4,2,4,4,4,3,5,5,5,5,4,5,5,5,5,4,5,4
1,1,8419,7,22,92.45,4,1,B+,4.222222222,5,4,4,5,4,4,3,4,3,5,5,4,4,5,4,3,5,5
1,1,7326,2,50,83.51,1,2,A+,4.111111111,4,4,4,4,3,3,4,5,5,5,5,3,4,4,4,5,4,4
1,1,7221,4,47,81.38,3,1,A+,4.611111111,5,5,5,5,5,4,4,5,5,5,5,5,5,4,4,4,4,4
1,1,7325,2,49,79.21,1,1,B,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1,1,7433,2,48,79.73,1,1,B+,4.888888889,5,5,5,5,5,5,4,5,5,5,5,5,5,4,5,5,5,5
1,1,7388,2,50,81.78,1,2,A+,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,5,4,4,4
1,1,7437,5,196,85.17,2,1,P,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1,1,7388,2,50,81.78,1,1,A+,3.888888889,4,4,3,4,3,4,4,4,4,4,4,4,4,4,4,3,5,4
1,1,7164,4,19,89.83,4,2,B+,4.722222222,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5
1,1,7435,2,49,89.83,1,2,B+,4.722222222,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5
1,1,7433,2,48,79.73,1,2,A+,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
1,1,7205,4,51,84.25,4,1,A+,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1,1,7143,4,57,92.24,2,2,A+,4.944444444,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1,1,7324,2,50,92.67,3,2,C+,4.555555556,3,3,4,4,4,5,5,5,5,5,5,4,5,5,5,5,5,5
1,1,8402,7,27,90.41,2,1,A+,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1,1,7324,2,50,92.67,2,2,C+,4.944444444,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1,1,7392,2,47,86.84,1,2,B+,3.777777778,2,3,4,4,2,3,4,4,4,5,5,5,5,3,4,2,4,5
1,1,7221,4,47,81.38,2,2,A+,3.111111111,4,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3
1,1,7435,2,49,89.83,1,2,A+,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1,1,7437,5,196,85.17,3,1,P,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1,1,7143,4,57,92.24,2,2,B+,4.611111111,5,4,5,5,4,4,5,4,5,5,4,5,5,4,5,4,5,5
1,1,7143,4,57,92.24,3,2,C,4.944444444,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5
1,1,8420,7,24,85.45,4,2,A+,4.888888889,5,5,5,5,5,5,5,5,5,5,5,4,5,5,4,5,5,5
1,1,7323,2,50,92.41,1,1,C+,4.666666667,4,4,5,5,3,4,5,5,5,5,5,5,5,5,5,5,5,4
1,1,7270,4,35,99.51,1,1,C+,4.777777778,5,5,5,4,5,5,5,5,5,4,5,5,5,5,4,5,5,4
1,1,7270,4,35,99.51,1,2,A+,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1,1,7437,5,196,85.17,4,1,P,3.944444444,3,5,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4
1,1,8420,7,24,85.45,4,2,A+,4.555555556,5,3,3,4,4,4,5,5,5,5,5,5,5,5,5,5,5,4
1,1,7328,2,48,69.19,1,2,B,3.555555556,4,4,3,4,3,3,4,4,3,4,3,4,3,4,3,4,3,4
1,1,7438,5,180,85.99,3,2,P,2.888888889,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
1,1,7437,5,196,85.17,4,1,P,4.055555556,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4
1,1,7389,2,50,88.44,4,1,B+,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
1,1,7251,4,35,94.92,4,2,A+,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1,1,7438,5,180,85.99,2,2,P,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1,1,7324,2,50,92.67,3,2,B+,4.944444444,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4
1,1,7390,2,50,88.35,1,1,B+,4.277777778,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4
1,1,7270,4,35,99.51,1,2,A+,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1,1,7169,4,74,85.81,3,1,A+,4.388888889,3,3,5,5,3,4,5,4,4,5,5,5,4,4,5,5,5,5
1,1,7145,4,7,87.69,3,1,B+,3.5,5,3,3,4,2,4,2,4,4,4,4,4,4,2,3,3,4,4
1,1,7387,2,48,88.01,1,1,C+,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1,1,7388,2,50,81.78,1,2,B+,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
1,1,7327,2,50,73.85,1,2,C+,4.166666667,5,5,5,5,5,4,3,4,4,4,3,4,4,4,4,4,4,4
1,1,7243,4,48,93.13,1,2,D+,4.611111111,4,4,5,5,5,5,5,4,5,5,4,5,5,4,5,5,4,4
1,1,8402,7,27,90.41,4,2,B,4.277777778,4,4,4,4,4,5,5,4,4,5,4,4,5,4,5,4,4,4
1,1,7323,2,50,92.41,1,2,B+,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1,1,7438,5,180,85.99,4,2,P,3.777777778,4,4,4,4,3,4,4,4,4,4,3,4,4,3,4,3,4,4
1,1,7392,2,47,86.84,1,2,B+,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1,1,7198,4,71,87.14,2,2,C,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1,1,7324,2,50,92.67,1,2,A+,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1,1,7122,4,77,87.92,4,2,B+,4.333333333,4,4,4,4,4,4,4,5,5,5,5,5,5,4,4,4,4,4
1,1,7438,5,180,85.99,2,2,P,3.666666667,4,3,4,3,3,3,4,3,4,4,4,4,4,4,4,3,4,4
1,1,7198,4,71,87.14,3,2,B+,3.888888889,4,3,3,3,3,4,4,5,4,4,4,4,4,5,4,4,4,4
1,1,7270,4,35,99.51,1,1,A+,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1,1,7437,5,196,85.17,3,2,P,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
1,1,7143,4,57,92.24,2,2,C+,3.777777778,4,4,4,4,3,4,3,4,3,4,3,4,4,4,4,4,4,4
1,1,7435,2,49,89.83,1,2,C+,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1,1,7391,2,49,82.68,1,2,A+,4.222222222,5,3,5,4,3,3,5,5,5,5,5,5,4,4,4,3,4,4
1,1,7437,5,196,85.17,4,2,P,4.888888889,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1,1,8053,8,27,78.03,2,2,A+,2.888888889,4,4,3,4,4,2,3,4,4,4,2,2,1,2,2,2,2,3
1,1,7206,4,47,91.87,3,2,A+,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1,1,7198,4,71,87.14,2,2,C+,3.388888889,3,3,4,4,3,3,3,4,4,4,4,4,3,3,3,3,3,3
1,1,8068,8,70,87.94,3,1,C+,4.5,4,3,5,5,5,4,5,5,5,5,4,4,4,4,4,5,5,5
1,1,7326,2,50,83.51,1,1,A+,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1,1,7433,2,48,79.73,1,1,B+,3.833333333,3,4,5,5,5,3,4,4,3,4,3,3,4,4,4,4,3,4
1,1,7221,4,47,81.38,3,2,A+,3.444444444,3,3,4,4,3,3,3,4,4,4,4,4,4,3,3,3,3,3
1,1,7388,2,50,81.78,1,2,B+,3.388888889,1,3,3,4,2,4,3,4,4,3,3,4,5,4,4,4,3,3
1,1,7434,2,48,88.65,1,2,C+,4.944444444,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1,1,7433,2,48,79.73,1,2,A+,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1,1,7205,4,51,84.25,1,2,B+,4.388888889,4,4,3,4,3,4,4,5,4,5,5,5,5,5,5,4,5,5
1,1,8068,8,70,87.94,3,2,C+,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1,1,7148,4,13,90.35,3,1,B+,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1,1,7392,2,47,86.84,1,2,B+,4.111111111,5,5,4,4,3,5,5,5,3,4,4,4,3,4,3,4,5,4
1,1,8080,7,27,67.08,3,2,A,2.888888889,4,3,3,3,3,3,3,2,3,4,2,2,3,2,3,3,4,2
1,1,7434,2,48,88.65,1,1,B+,4.5,5,5,4,5,5,5,5,5,5,5,4,2,5,5,4,5,3,4
